id_student_assessment,id_student,id_assessment,code_module,code_presentation,date_submitted,is_banked,score
1,104,1752,AAA,2013J,28.0,0,53.95477495774783
2,104,1753,AAA,2013J,50.0,0,43.057127007423716
3,104,1754,AAA,2013J,125.0,0,66.76471507771898
4,104,1755,AAA,2013J,164.0,0,84.47810239986457
5,104,1756,AAA,2013J,219.0,0,37.78348437394598
6,104,1757,AAA,2013J,,0,14.900802514637412
7,57,1752,AAA,2013J,24.0,1,54.92321492224639
8,57,1753,AAA,2013J,53.0,0,76.2130503915755
9,57,1754,AAA,2013J,118.0,0,65.24447096830339
10,57,1755,AAA,2013J,173.0,0,41.06668815431208
11,57,1756,AAA,2013J,218.0,0,74.33510409677159
12,57,1757,AAA,2013J,,0,79.75038522445448
13,166,1752,AAA,2013J,16.0,0,30.91894165604465
14,166,1753,AAA,2013J,61.0,0,47.12137132855154
15,166,1754,AAA,2013J,120.0,0,63.24265088140831
16,166,1755,AAA,2013J,172.0,0,60.79822371785678
17,166,1756,AAA,2013J,212.0,0,60.56437192567729
18,166,1757,AAA,2013J,,0,84.23423256020135
19,93,1752,AAA,2013J,23.0,0,92.33949292404827
20,93,1753,AAA,2013J,59.0,0,76.08184214007852
21,93,1754,AAA,2013J,126.0,0,61.916619232638276
22,93,1755,AAA,2013J,164.0,0,46.045629951872016
23,93,1756,AAA,2013J,211.0,1,85.62434267476715
24,93,1757,AAA,2013J,,0,24.09275754292321
25,151,1752,AAA,2013J,18.0,0,72.86229312116068
26,151,1753,AAA,2013J,60.0,0,56.908901648832085
27,151,1754,AAA,2013J,126.0,0,53.60602074148537
28,151,1755,AAA,2013J,173.0,0,57.84344133117466
29,151,1756,AAA,2013J,219.0,0,20.424234679475006
30,151,1757,AAA,2013J,,0,49.94043256189161
31,87,1752,AAA,2013J,15.0,1,77.54582402570927
32,87,1753,AAA,2013J,55.0,0,87.23397071288214
33,87,1754,AAA,2013J,117.0,0,85.22703615842136
34,87,1755,AAA,2013J,162.0,1,78.73204547739562
35,87,1756,AAA,2013J,217.0,0,74.58590712382133
36,87,1757,AAA,2013J,,0,96.4916808326066
37,197,1752,AAA,2013J,26.0,0,56.93424416178122
38,197,1753,AAA,2013J,61.0,0,66.6905396756865
39,197,1754,AAA,2013J,122.0,0,44.20732114350441
40,197,1755,AAA,2013J,167.0,0,73.42169980439613
41,197,1756,AAA,2013J,219.0,0,67.26912080113105
42,197,1757,AAA,2013J,,0,64.64594072256882
43,132,1752,AAA,2013J,24.0,0,92.82307970843527
44,132,1753,AAA,2013J,52.0,0,77.66178014653153
45,132,1754,AAA,2013J,124.0,0,83.36498507459206
46,132,1755,AAA,2013J,173.0,0,55.414235255237095
47,132,1756,AAA,2013J,220.0,0,76.37695218936868
48,132,1757,AAA,2013J,,0,66.42987130570036
49,103,1752,AAA,2013J,17.0,0,47.58891288707694
50,103,1753,AAA,2013J,50.0,0,51.40344580077553
51,103,1754,AAA,2013J,124.0,1,84.17632612935344
52,103,1755,AAA,2013J,168.0,0,87.55372589032858
53,103,1756,AAA,2013J,222.0,0,91.03185996007986
54,103,1757,AAA,2013J,,0,42.714694893089884
55,12,1752,AAA,2013J,14.0,0,68.22084262811963
56,12,1753,AAA,2013J,51.0,0,56.73586658307304
57,12,1754,AAA,2013J,117.0,0,32.72193959761835
58,12,1755,AAA,2013J,170.0,0,49.07086384707885
59,12,1756,AAA,2013J,213.0,0,51.800329086727444
60,12,1757,AAA,2013J,,0,40.62082391022413
61,45,1752,AAA,2013J,17.0,0,48.85270062980011
62,45,1753,AAA,2013J,56.0,0,78.81974417720681
63,45,1754,AAA,2013J,114.0,0,68.02463576413038
64,45,1755,AAA,2013J,173.0,1,52.986278770448806
65,45,1756,AAA,2013J,217.0,1,73.27654646286638
66,45,1757,AAA,2013J,,0,73.09999311113377
67,135,1752,AAA,2013J,27.0,0,56.359123715104516
68,135,1753,AAA,2013J,63.0,0,100.0
69,135,1754,AAA,2013J,126.0,0,62.12680940205764
70,135,1755,AAA,2013J,173.0,0,61.69838869993908
71,135,1756,AAA,2013J,214.0,0,42.93181063780182
72,135,1757,AAA,2013J,,0,47.66704123398062
73,140,1752,AAA,2013J,27.0,0,37.92490650580483
74,140,1753,AAA,2013J,53.0,1,79.68953490002436
75,140,1754,AAA,2013J,112.0,0,64.73334305927077
76,140,1755,AAA,2013J,164.0,0,58.14586892773473
77,140,1756,AAA,2013J,219.0,0,25.360710285225736
78,140,1757,AAA,2013J,,0,22.520469951057542
79,108,1752,AAA,2013J,25.0,0,73.80167849795353
80,108,1753,AAA,2013J,63.0,1,30.293951067913774
81,108,1754,AAA,2013J,123.0,0,62.1943950351452
82,108,1755,AAA,2013J,164.0,1,74.14261892190561
83,108,1756,AAA,2013J,216.0,0,94.38784126324275
84,108,1757,AAA,2013J,,0,0.0
85,16,1752,AAA,2013J,19.0,0,100.0
86,16,1753,AAA,2013J,56.0,1,37.29181216363742
87,16,1754,AAA,2013J,122.0,0,100.0
88,16,1755,AAA,2013J,172.0,0,36.23177666410882
89,16,1756,AAA,2013J,219.0,0,39.66206574146812
90,16,1757,AAA,2013J,,0,70.9666990639565
91,28,1752,AAA,2013J,19.0,1,49.7824824765601
92,28,1753,AAA,2013J,49.0,0,72.5069472708004
93,28,1754,AAA,2013J,120.0,0,88.86103376167094
94,28,1755,AAA,2013J,166.0,0,48.22066003213169
95,28,1756,AAA,2013J,220.0,1,82.60131925914685
96,28,1757,AAA,2013J,,0,24.154854401789642
97,96,1752,AAA,2013J,24.0,1,50.012252001102624
98,96,1753,AAA,2013J,61.0,0,58.813751729959854
99,96,1754,AAA,2013J,117.0,1,100.0
100,96,1755,AAA,2013J,165.0,0,81.14339031586445
101,96,1756,AAA,2013J,222.0,1,56.94494706586063
102,96,1757,AAA,2013J,,0,40.520910512146756
103,154,1752,AAA,2013J,23.0,0,51.96385243852582
104,154,1753,AAA,2013J,58.0,0,57.71787557221575
105,154,1754,AAA,2013J,126.0,0,74.82891021788804
106,154,1755,AAA,2013J,171.0,0,60.418379381565806
107,154,1756,AAA,2013J,213.0,0,76.44770464615806
108,154,1757,AAA,2013J,,0,38.48575526443595
109,153,1752,AAA,2013J,22.0,0,50.31373724658876
110,153,1753,AAA,2013J,57.0,1,100.0
111,153,1754,AAA,2013J,124.0,0,62.54429170904126
112,153,1755,AAA,2013J,164.0,0,66.9159345125929
113,153,1756,AAA,2013J,216.0,0,52.49577941901721
114,153,1757,AAA,2013J,,0,41.87666996494662
115,182,1752,AAA,2013J,18.0,0,80.68292832706997
116,182,1753,AAA,2013J,63.0,0,47.03945547351083
117,182,1754,AAA,2013J,124.0,0,56.20600098128382
118,182,1755,AAA,2013J,172.0,0,53.091535942479155
119,182,1756,AAA,2013J,214.0,0,59.543109073197385
120,182,1757,AAA,2013J,,0,84.25437706419648
121,46,1752,AAA,2013J,26.0,0,89.91417328339323
122,46,1753,AAA,2013J,56.0,0,50.57139071892764
123,46,1754,AAA,2013J,112.0,0,93.18356787205175
124,46,1755,AAA,2013J,175.0,0,55.25143574980129
125,46,1756,AAA,2013J,216.0,0,69.13942690131985
126,46,1757,AAA,2013J,,0,66.24152946273102
127,85,1752,AAA,2013J,17.0,0,23.576402348390673
128,85,1753,AAA,2013J,51.0,0,84.86669003215536
129,85,1754,AAA,2013J,121.0,0,85.74362811298101
130,85,1755,AAA,2013J,162.0,0,46.790265929369575
131,85,1756,AAA,2013J,212.0,0,59.314197788933235
132,85,1757,AAA,2013J,,1,78.83510927197963
133,139,1752,AAA,2013J,17.0,0,56.23566127235682
134,139,1753,AAA,2013J,53.0,0,94.91014937594448
135,139,1754,AAA,2013J,116.0,0,50.500243216864014
136,139,1755,AAA,2013J,165.0,0,58.448461739017695
137,139,1756,AAA,2013J,211.0,0,88.70039275904823
138,139,1757,AAA,2013J,,0,28.24228182791111
139,53,1752,AAA,2013J,18.0,0,42.90547389804651
140,53,1753,AAA,2013J,51.0,0,78.18616239022654
141,53,1754,AAA,2013J,119.0,0,86.30752544519206
142,53,1755,AAA,2013J,167.0,0,59.83908968777677
143,53,1756,AAA,2013J,224.0,0,76.36368006680796
144,53,1757,AAA,2013J,,0,42.59949595997621
145,92,1752,AAA,2013J,22.0,0,40.5355953987614
146,92,1753,AAA,2013J,54.0,0,93.49255464154487
147,92,1754,AAA,2013J,124.0,0,42.68750175020125
148,92,1755,AAA,2013J,170.0,0,64.68041114232172
149,92,1756,AAA,2013J,210.0,0,27.850424346731934
150,92,1757,AAA,2013J,,0,24.662125670070132
151,82,1752,AAA,2013J,26.0,0,75.78106100811642
152,82,1753,AAA,2013J,58.0,0,76.27194906479934
153,82,1754,AAA,2013J,115.0,0,62.52466103586828
154,82,1755,AAA,2013J,172.0,0,83.62277600470469
155,82,1756,AAA,2013J,219.0,0,90.07331174305956
156,82,1757,AAA,2013J,,0,61.944878699875794
157,89,1752,AAA,2013J,19.0,0,51.286501648197394
158,89,1753,AAA,2013J,60.0,0,81.4059674901793
159,89,1754,AAA,2013J,118.0,0,79.88715576412551
160,89,1755,AAA,2013J,162.0,0,78.09593597301966
161,89,1756,AAA,2013J,218.0,0,61.400865963934386
162,89,1757,AAA,2013J,,1,76.30816339570579
163,43,1752,AAA,2013J,27.0,0,42.96451274120452
164,43,1753,AAA,2013J,57.0,0,64.70044452740738
165,43,1754,AAA,2013J,125.0,0,62.837220192171664
166,43,1755,AAA,2013J,165.0,0,87.24201238442677
167,43,1756,AAA,2013J,224.0,0,93.36805092073165
168,43,1757,AAA,2013J,,0,51.53910537962952
169,71,1752,AAA,2013J,23.0,0,86.17238105281153
170,71,1753,AAA,2013J,60.0,0,32.70746085780912
171,71,1754,AAA,2013J,113.0,0,77.36176032414865
172,71,1755,AAA,2013J,174.0,1,72.68390984206121
173,71,1756,AAA,2013J,210.0,0,64.21833774128184
174,71,1757,AAA,2013J,,0,91.70944884736113
175,149,1752,AAA,2013J,19.0,0,70.07474593549667
176,149,1753,AAA,2013J,57.0,0,29.13847204175221
177,149,1754,AAA,2013J,117.0,0,57.696347674125306
178,149,1755,AAA,2013J,164.0,0,54.93512689396638
179,149,1756,AAA,2013J,223.0,0,93.62304235523482
180,149,1757,AAA,2013J,,0,53.49909374548888
181,27,1752,AAA,2013J,22.0,0,100.0
182,27,1753,AAA,2013J,51.0,0,60.07175841791097
183,27,1754,AAA,2013J,119.0,0,44.26537404940717
184,27,1755,AAA,2013J,168.0,0,45.794034469692946
185,27,1756,AAA,2013J,216.0,1,82.15370936701689
186,27,1757,AAA,2013J,,0,16.683816121810047
187,156,1752,AAA,2013J,26.0,0,73.94504310984502
188,156,1753,AAA,2013J,51.0,1,64.84037591296591
189,156,1754,AAA,2013J,122.0,0,50.57086234848267
190,156,1755,AAA,2013J,168.0,0,75.95326564014968
191,156,1756,AAA,2013J,222.0,0,80.34958689108261
192,156,1757,AAA,2013J,,0,59.9571461582734
193,105,1752,AAA,2013J,18.0,0,70.34693498850525
194,105,1753,AAA,2013J,55.0,0,70.068295197486
195,105,1754,AAA,2013J,123.0,0,22.498101972247312
196,105,1755,AAA,2013J,167.0,0,71.34905893834052
197,105,1756,AAA,2013J,218.0,0,46.62084330600926
198,105,1757,AAA,2013J,,0,47.49463710622807
199,48,1752,AAA,2013J,28.0,0,48.51029388692977
200,48,1753,AAA,2013J,58.0,0,50.0614461325561
201,48,1754,AAA,2013J,126.0,0,49.792727175677385
202,48,1755,AAA,2013J,165.0,0,57.127768359339804
203,48,1756,AAA,2013J,224.0,0,58.7117043326645
204,48,1757,AAA,2013J,,0,20.11081884444431
205,29,1752,AAA,2013J,22.0,0,47.93009039877317
206,29,1753,AAA,2013J,58.0,0,51.61126172733019
207,29,1754,AAA,2013J,119.0,0,77.45864539623928
208,29,1755,AAA,2013J,161.0,0,100.0
209,29,1756,AAA,2013J,224.0,0,50.01168026086053
210,29,1757,AAA,2013J,,1,68.44415247636503
211,52,1752,AAA,2013J,23.0,0,69.43604418834461
212,52,1753,AAA,2013J,49.0,0,72.64643775523324
